Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 13.18      0.88     0.88        3     0.29     0.99  DFS_List(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, int, std::vector<bool, std::allocator<bool> >&, std::__cxx11::list<int, std::allocator<int> >&)
 12.28      1.70     0.82 200080005     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
 10.78      2.42     0.72 310506653     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 10.19      3.10     0.68 200080005     0.00     0.00  std::_Bit_iterator::operator*() const
  9.44      3.73     0.63        2     0.32     1.36  DFS(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, int, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  7.94      4.26     0.53 200080006     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  6.74      4.71     0.45 200080007     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  6.67      5.16     0.45 200080005     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  6.59      5.60     0.44        1     0.44     6.65  kosaraju_by_matrix(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, int)
  5.84      5.99     0.39 200060003     0.00     0.00  std::_Bit_reference::operator bool() const
  5.24      6.34     0.35 200080010     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  3.89      6.60     0.26 110446649     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.22      6.61     0.02        3     0.01     0.01  std::_Bit_iterator::_Bit_iterator()
  0.15      6.62     0.01    20002     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.15      6.63     0.01    20002     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.15      6.64     0.01    20002     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.15      6.65     0.01    10003     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.15      6.66     0.01        3     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.07      6.67     0.01                             operator delete(void*, void*)
  0.00      6.67     0.00    60084     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      6.67     0.00    40011     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      6.67     0.00    40011     0.00     0.00  std::allocator<int>::~allocator()
  0.00      6.67     0.00    40008     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      6.67     0.00    40008     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      6.67     0.00    40008     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      6.67     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      6.67     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      6.67     0.00    40004     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      6.67     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      6.67     0.00    40004     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      6.67     0.00    40004     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.67     0.00    30003     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      6.67     0.00    30003     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
